"id","wiki_friendly_title","Segment Ids","ISMAR Links","GIS Id","Alternate IDs","Location-lon","Location-lat","Average Depth (m)","Introduction (English)","Area (m^2)","Introduzione (Italiano)","Name","Length (m)","Insula Number","Target Depth (cm)"
"PANA","Rio de la Panada","PANA1,PANA2,PANA3","2060,2449,2450","PANA",,"12.34114408","45.44163051","-1.04","","3186.6","","Rio de la Panada","430.2","2","200.0"
"NAVI",,"","",,,,,,,,,,,,
"APON","Rio de S. Aponal","APON2,APON1","2315,2326","APON",,"12.33130574","45.43800202","-0.94","Founded in the eleventh century and restored in the fifteenth, the church of Sant'Aponal vernacular name of St. Apollinaris, was deconsecrated in 1810 and stripped of all the works of art to be reopened in 1851, and today is deconsecrated and houses the archives .ï¿½The faï¿½ade of late Gothic style, dating from the mid-fifteenth century, was adorned with a beautiful portal with sculptures by Antonio Rizzo, from the church of Saint Helena, where he relocated in 1943.ï¿½Attached to the church, stands the bell tower of the ancient Venetian-Byzantine building with Gothic additions and supplements.ï¿½The bridge crosses the river de la Furatola, a name which indicated small shops selling fried fish and wine retail.","608.2","Fondata nel XI secolo e restaurata nel XV, la chiesa di Sant'Aponal, nome volgarizzato di Sant'Apollinare, nel 1810 fu sconsacrata e spogliata di tutte le opere d'arte per essere poi riaperta nel 1851; oggi ï¿½ sconsacrata e ospita degli archivi. La facciata, di stile tardo-gotico, risalente alla metï¿½ del XV secolo, era ornata da un bel portale con sculture di Antonio Rizzo, proveniente dalla chiesa di Sant'Elena, dove venne ricollocato nel 1943. Annesso alla chiesa, si innalza il campanile di antica costruzione veneto-bizantina con aggiunte e integrazioni goticheggianti. Attraversa il rio il ponte de la furï¿½tola, nome con cui si indicavano piccole botteghe che vendevano pesce fritto e vino al minuto.","Rio de S. Aponal","94.7","16","180.0"
"MALP","Rio del Malpaga","MALP2,MALP4,MALP1,MALP3","2016,2220,2222,2229","MALP",,"12.3238492","45.43228029","-1.58","In the corner, between the river and the Grand Canal, there was once a palace owned by the family Michiel, nicknamed the Malpaga the name of a castle built by Michiel Fantino in 1425 in Ragusa.ï¿½In this area, at the beginning of the twentieth century, was built by the architect Giuseppe Berti, Stern building, in neo-Gothic style.ï¿½On the opposite side of the channel there is Palazzo Moro.ï¿½The building was rebuilt in the early sixteenth century, contains a faï¿½ade 'to Lombardesca' extremely simple and unadorned marble, except for some floral motifs present on the top of the arches of polifora.","3045.9","In angolo, tra il rio e il Canal Grande, esisteva un tempo un palazzo di proprietï¿½ della famiglia Michiel, soprannominata del Malpaga dal nome di un castello costruito da Fantino Michiel nel 1425 a Ragusa. In quest'area, all'inizio del Novecento, fu costruito, dall'architetto Giuseppe Berti, palazzo Stern, in stile neogotico. Sul lato opposto del canale si trova palazzo Moro. L'edificio, ricostruito all'inizio del XVI secolo, conserva una facciata 'alla lombardesca' estremamente semplificata e priva di ornamenti marmorei, fatta eccezione per alcuni motivi floreali presenti sul colmo degli archi della polifora.","Rio del Malpaga","406.3","19","200.0"
"COLE",,"COLE01","",,,,,,,,,,,,
"BURC","Rio de le Burchiele","BURC","2190,2191","BURC",,"12.31773376","45.43664693","-1.22","The stationing in this rio peripheral, which until the early nineteenth century flowed directly into the lagoon, and burci burciele, capacious transport vessels for different materials, has determined over time the name.ï¿½In a small building located next to the neighboring church of St. Andrew was home to the school corporation of trade that brought together burcieri from Stiore from firewood, from rovinazzo and cavacanali.ï¿½With regard to the latter authorities of the time were issued, among others, a provision that prohibited the burchielle to carry earth and rovinassi after sunset to avoid the boats were emptied illegally in the lagoon, creating dangerous unloading areas not subsidiaries.ï¿½At the end of the river glimpsed in the background, along both sides of the buildings of the Tobacco Factory (which has definitely gone out of business a few years ago), linked by a building-bridge over the river itself.","2629.6","Lo stazionamento in questo rio periferico, che fino al primo Ottocento sfociava direttamente in laguna, di burci e burciele, capienti imbarcazioni da trasporto per i materiali piï¿½ disparati, ne ha determinato col passare del tempo il nome. In un piccolo edificio situato a fianco della vicina chiesa di Sant'Andrea aveva sede la scuola della corporazione di mestiere che riuniva i burcieri da stiore, da legne, da rovinazzo e cavacanali. Riguardo a quest'ultimi le autoritï¿½ dell'epoca avevano emanato, fra le tante, una disposizione che vietava alle burchielle di trasportare terra e rovinassi dopo il tramonto, onde evitare che le barche venissero vuotate abusivamente nella laguna, creando cosï¿½ pericolose zone di scarico non controllate. All'estremitï¿½ del rio s'intravvedono sullo sfondo, lungo entrambi i lati, gli edifici della Manifattura tabacchi (che ha definitivamente cessato l'attivitï¿½ pochi anni or sono), collegati da un fabbricato-ponte che scavalca il rio stesso.","Rio de le Burchiele","319.5","17","200.0"
"TANA","Rio de la Tana","TANA2,TANA1,TANA3","2092,2165,2479,2480,2481","TANA",,"12.35296726","45.43321387","-1.38","Adjoining this is the rio Grande Workshop Ropes, called Tana, the building of the fourteenth century, restored and enlarged in the sixteenth century by Antonio Da Ponte, known for having designed the Rialto Bridge is 315 meters long and 20 high, rhythmic by 84 columns and is intended to store and manufacture cordage.ï¿½It is said that the name derives from Tana Tanai, a city in southern Russia, from where we used to import hemp used for the production of thick ropes for ships.ï¿½Garrisoned the Burrow a magistrate composed of three patricians, called Visdomini, that risidievano inside of the building.","5982.2","Prospiciente a questo rio sorge la Grande Officina di Corderia, detta Tana; l'edificio del XIV secolo, restaurato e ampliato nel XVI secolo da Antonio Da Ponte, noto per aver progettato il ponte di Rialto, ï¿½ lungo 315 metri e alto 20, ritmato da 84 colonne e destinato a immagazzinare e fabbricare cordame. Si dice che il nome Tana derivi da Tanai, cittï¿½ della Russia meridionale, luogo da cui si era soliti importare la canapa usata per la produzione di grosse funi per le navi. Presidiava alla Tana un magistrato composto da tre patrizi, chiamati visdomini, che risidievano all'interno del fabbricato.","Rio de la Tana","529.8","9","200.0"
"2FIS","Rio secondo de Sacca Fisola","2FIS","3009","2FIS",,"45.42600077","45.42600077",,"","1225.3","","Rio secondo de Sacca Fisola","108.4","21",
"FAVA","Rio de la Fava","FAVA1,FAVA2","2157,2158,2372","FAVA",,"12.33769476","45.43741105","-1.58","Many fine buildings facing the Rio de la Fava, starting with the Lombard where he was born in 1849 Richard Wild, poet and politician, and the contemporary Ca 'Gussoni, then Algarotti, also designed by Lombardo (left in the picture) .ï¿½Not far archiacuto a building that still preserves in a four-Gothic facade, belonged to the Corner and the early nineteenth century the Royal Family, known in that century for many Cererie their property.ï¿½The river takes its name from the church of Our Lady of Consolation, commonly called 'the Fava' perhaps because of the proximity of a shop that sold sweets called 'beans of the dead'.ï¿½The imposing size of the fifteenth century Ca 'Giustiniani (then Ca' Faccanon), visible in the background, was for decades the headquarters of the newspaper 'Il Gazzettino', in the early eighties moved to Mestre.","1844.1","Numerosi pregevoli edifici prospettano sul rio de la Fava, a cominciare da quello lombardesco in cui nacque nel 1849 Riccardo Selvatico, poeta e uomo politico, e dalla coeva Ca' Gussoni, poi Algarotti, anch'essa progettata dai Lombardo (a sinistra nella fotografia). Poco distante un edificio archiacuto, che conserva ancora in facciata una quadrifora gotica, appartenne ai Corner e dal primo Ottocento ai Reali, noti in quel secolo per le numerose cererie di loro proprietï¿½. Il rio prende il nome dalla chiesa di Santa Maria della Consolazione, volgarmente detta 'della Fava' forse per la vicinanza di una bottega che vendeva dolci detti 'fave dei morti'. L'imponente mole della quattrocentesca Ca' Giustinian (poi Ca' Faccanon), visibile sullo sfondo, fu per decenni la sede centrale del quotidiano 'Il Gazzettino', trasferita nei primi anni Ottanta a Mestre.","Rio de la Fava","203.4","36","200.0"
"BOLD","Rio de S. Boldo","BOLD3,BOLD2,BOLD1","2358,2359,2360","BOLD",,"12.3279047","45.43855911","-1.35","It was dedicated to St. Ubaldo and St. Agatha Church (now lost) which gave its name to the early eleventh century district and the nearby river.ï¿½Rebuilt several times over the centuries, was joined in 1395 by the hospital of San Boldo (dialect corruption of the name Ubaldo); closed for worship in 1808, after some time it was demolished.ï¿½It remains mute testimony without the bell tower of the belfry and spire, reduced to a private residence.","649.4","Era dedicata ai santi Ubaldo e Agata la chiesa (oggi scomparsa) che ha dato fin dall'XI secolo la denominazione alla contrada ed al vicino rio. Piï¿½ volte rifabbricata nel corso dei secoli, venne affiancata nel 1395 dall'ospedale di San Boldo (corruzione dialettale del nome Ubaldo); chiusa al culto nel 1808, dopo qualche tempo fu demolita. Ne rimane muta testimonianza il campanile privo della cella campanaria e della cuspide, ridotto a privata abitazione.","Rio de S. Boldo","131.8","15","180.0"
"SANT","Rio del Santissimo","SANT","2132,2261,2262","SANT",,"12.33091414","45.43252121","-1.23","It is so named because, before connecting to the stream of Sant'Anzolo, flows beneath the chapel dedicated to the Blessed Sacrament in the church of Santo Stefano.ï¿½Together with those of Santi Giovanni e Paolo and the Frari, this church is considered one of the most important examples of Gothic architecture in Venice.ï¿½At the mouth of the river is the seventeenth-century Palazzo Pisani, now the Benedetto Marcello Conservatory of Music, by the distinguished family descended Alvise Pisani, doge in office from 1735 to 1741.ï¿½It overlooks the river and on its Square Ca 'Morosini-Gattemburg palace built in baroque style, largely rebuilt in the seventeenth century.ï¿½Was the residence of the patrician family which counts among its members one of the most famous sea captains: Francesco Morosini, Doge from 1688 to 1694, nicknamed 'Peloponnesian' for the victories over the Turks in the Peloponnese.ï¿½Near the bridge of St. Maurice, the only one that crosses the river, is building Bellavitis-Thirds building of the second half of the sixteenth century, designed by Sansovino and a time frescoed by Veronese, and was home to artists and writers including Alessandro Manzoni and erotic poet George Mustache.ï¿½Top left Santo Stefano represented in a watercolor by William Turner in 1840.","1595.9","ï¿½ cosï¿½ denominato perchï¿½, prima di collegarsi al rio di Sant'Anzolo, scorre sotto la cappella dedicata al Santissimo nella chiesa di Santo Stefano. Insieme a quelle dei Santi Giovanni e Paolo e dei Frari, questa chiesa ï¿½ considerata uno dei piï¿½ importanti esempi di architettura gotica a Venezia. All'imboccatura del rio sorge il secentesco palazzo Pisani, oggi sede del Conservatorio di musica Benedetto Marcello; dall'illustre famiglia Pisani discese Alvise, doge in carica dal 1735 al 1741. Si affaccia sul rio e sull'omonimo campo Ca' Morosini-Gattemburg, palazzo d'impianto gotico, in gran parte ricostruito nel XVII secolo. Fu dimora del casato patrizio che annovera tra i suoi membri uno dei piï¿½ celebri capitani da mar: Francesco Morosini, doge dal 1688 al 1694, soprannominato 'Peloponnesiaco' per le vittorie riportate sui turchi nel Peloponneso. Vicino a ponte San Maurizio, l'unico che attraversa il rio, si trova palazzo Bellavitis-Terzi, edificio della seconda metï¿½ del XVI secolo progettato dal Sansovino e un tempo affrescato dal Veronese; fu dimora di artisti e letterati tra cui Alessandro Manzoni e il poeta erotico Giorgio Baffo. In alto a sinistra Santo Stefano rappresentato in un acquarello di William Turner del 1840.","Rio del Santissimo","275.3","11","180.0"
"GIUD",,"GIUD01","",,,,,,,,,,,,
"SENS","Rio de la Sensa","SENS4,SENS1,SENS6,SENS5,SENS3,SENS2","2025,2030,2031,2036,2418,2419,2420","SENS",,"12.32779741","45.44649321","-1.76","One of the most important festivals in Venice was great and the Ascension, better known as the 'Feast of the Ascension.'ï¿½During the festival was commemorated the victorious expedition of Peter Orseolo in Dalmatia, for the occasion was celebrated the ceremony of the 'marriage of the sea': the Doge, on board the Bucintoro, with his followers, threw water in a golden ring the height of the harbor in San Nicolï¿½ del Lido, uttering the famous phrase:ï¿½You're getting married or sea as a sign of true and perfect controlï¿½.ï¿½The ceremony is documented, for example from a painting by Gabriel Bella preserved at the Pinacoteca Querini Stampalia.ï¿½At number 3399 is the house known for being the home of Tintoretto, who died in 1594.","13723.6","Una delle feste piï¿½ significative e grandiose a Venezia era quella dell'Ascensione, meglio nota come 'festa de la Sensa'. Durante la festa veniva commemorata la vittoriosa spedizione di Pietro Orseolo in Dalmazia; per l'occasione veniva celebrata la cerimonia dello 'sposalizio del mare': il doge, a bordo del Bucintoro, con il suo seguito, gettava in acqua un anello d'oro all'altezza dell'imboccatura del porto a San Nicolï¿½ del Lido, pronunciando la famosa frase:ï¿½Ti sposiamo o mare in segno di vero e perfetto dominio. La cerimonia ï¿½ documentata ad esempio da un dipinto di Gabriel Bella conservato presso la Pinacoteca Querini Stampalia. Al civico 3399 si trova la casa nota per essere stata la dimora del Tintoretto, che qui morï¿½ nel 1594.","Rio de la Sensa","1024.5","40","200.0"
"ZANI","Rio de S. Zaninovo o del Remedio","ZANI","2143,2144,2145","ZANI",,"12.34204799","45.43584326","-1.04","","892.5","","Rio de S. Zaninovo o del Remedio","202.8","4","180.0"
"VEMA",,"","",,,,,,,,,,,,
"FALB",,"FALB01","",,,,,,,,,,,,
"AGOS","Rio de S. Agostin","AGOS","2349","AGOS",,"12.32796907","45.43838596","-1.44","At the church of St. Augustine, which was demolished in 1873 after being in the course of its history, three fires and being, in 1810, used as a warehouse, was the famous column of infamy in memory of the rebellion of Baiamonte Tiepolo, rose against the regime in 1310.ï¿½It overlooks along the river palace Morosini, passed in the wake of Zane, then to Collalto (engraving alongside Luca Carlevarijs, over the Rio di Palazzo Fangs St. Augustine, 1703).ï¿½Chronicle that on the facade of the original building Morosini it were the foot of one of the four horses placed at the Basilica of San Marco in Venice and brought the Hippodrome of Constantinople after the Fourth Crusade in 1204.","1523.2","Presso la chiesa di Sant'Agostino, demolita nel 1873 dopo aver subito, nel corso della sua storia, tre incendi ed essere stata, nel 1810, adibita a magazzino, si trovava la famosa colonna d'infamia a memoria della ribellione di Baiamonte Tiepolo, insorto contro il regime nel 1310. Si affaccia lungo il rio palazzo Morosini, passato in seguito agli Zane, poi ai Collalto (nell'incisione a fianco di Luca Carlevarijs, Palazzo Zanne sopra il Rio di Sant'Agostino, 1703). Raccontano le cronache che sulla facciata dell'originario palazzo Morosini si trovasse il piede di uno dei quattro cavalli posti presso la Basilica di San Marco e portati a Venezia dall'ippodromo di Costantinopoli in seguito alla Quarta crociata del 1204.","Rio de S. Agostin","130.1","8","200.0"
"GERO","Rio de S. Gerolamo","GERO","2163,2164","GERO",,"12.35564947","45.43493043","-1.29","Following the arrival in Venice of Napoleon in the winter of 1807, it gave the green light to some work that led to the construction of public gardens of the Castle, the burial of the Rio di San Domenico and the demolition of several buildings and churches.To ensure the viability watery to adjoining near the rio de la Tana with the stump of the Rio de Santana excluded silting.ï¿½In 1809, were demolished some houses of the congregation of St. Jerome, and the area was excavated at the current river of the same name.","3671.3","A seguito della venuta a Venezia di Napoleone nell'inverno del 1807, si dette il via ad alcuni lavori che portarono alla costruzione dei pubblici giardini di Castello, all'interramento del rio di San Domenico e alla demolizione di numerosi edifici civili e religiosi. Per garantire la viabilitï¿½ acquea si collegarono il vicino rio de la Tana con il troncone del rio de Sant'Ana escluso dall'interramento. Nel 1809, furono demolite alcune case della congregazione di San Gerolamo, e in corrispondenza di quell'area venne scavato l'attuale rio omonimo.","Rio de S. Gerolamo","341.2","9","200.0"
"ALBO","Rio de l'Alboro o de le Ostreghe","ALBO","2284,2286","ALBO",,"12.33351588","45.43239322","-1.65","","1068.0","","Rio de l'Alboro o de le Ostreghe","168.9","1","180.0"
"RACH","Rio de la Racheta","RACH2,RACH1","2050,2409","RACH",,"12.33518422","45.44246984","-1.3","Of the popular game of the racket had already been mentioned in the lagoon city of the seventeenth century, finding documents that Domenico tends to rachetta, a Baptist from Zuan racheta, and a Zuan Battista Alberti's racheta, resided in the district of San Felice where was located a very popular golf game in 1661 was run by Zuane Spinola.ï¿½Other places frequented by players rackets were wide street of Boteri, the area of ??Biri and in the seventeenth century, the area of ??deeply Nine near the street that runs along the former monastery of Santa Caterina.","683.5","Del popolare gioco della racchetta si parlava giï¿½ nella cittï¿½ lagunare del XVII secolo, trovandosi nei documenti che un Domenico tende alla rachetta, un Zuan Battista dalla racheta, ed un Zuan Battista Alberti della racheta, risiedevano nella contrada di San Felice ove aveva sede un frequentatissimo campo da gioco che nel 1661 era gestito da Zuane Spinola. Altri luoghi frequentati dai giocatori delle racchette furono calle larga dei Boteri, la zona dei Biri e, nel XVII secolo, la zona delle fondamente Nove in prossimitï¿½ della calle che fiancheggia l'ex monastero di Santa Caterina.","Rio de la Racheta","141.8","12","180.0"
"CMIS","Canal de la Misericordia","CMIS2,CMIS1,CMIS3","2035,2037","CMIS",,"12.33568311","45.44390384","-1.44","The name comes from the nearby abbey church, also known as 'Santa Maria di Val green', founded in the tenth century.ï¿½To 1308 was the construction of the nearby 'Old School'.ï¿½This was later abandoned by his brothers who moved toward the second half of the sixteenth century, at the 'New School' or 'de la Misericordia', by Jacopo Sansovino.","5692.5","Il nome deriva dalla vicina chiesa abaziale, nota anche come 'Santa Maria di Val verde', fondata nel X secolo. Al 1308 risale la costruzione della vicina 'Scuola Vecchia'. Questa fu successivamente abbandonata dai confratelli che si trasferirono, verso la seconda metï¿½ del XVI secolo, presso la 'Scuola Nuova' o 'de la Misericordia', opera di Jacopo Sansovino.","Canal de la Misericordia","262.8","2","220.0"
