!!id,!!type,larghezza media (m),zoom,fondo cementificato,ID,ID del rio,ID intersezione Nord,larghezza minima (m),superficie (m2),ID intersezione Sud,Y,X,lunghezza (m),jobs,jobItems
APON01,segmenti,6.5 m,57.80761557,no,APON01,APON,II0550,4.6 m,389.221,II0590,5035100.773,2311298.956,59.56,"[00003, 232/1, 00159, 00517, 00187, II509]","[00003SC0074, 00003SC0075, 00003SC0112, 00187SC0001, 00187SC0004, 00187SC0010, 00187SC0015]"
APON02,segmenti,5.7 m,50,no,APON02,APON,II0590,4.2 m,198.721,II0600,5035073.168,2311253.713,35.09,"[00003, 232/1, 00159, 00517, 00187, II509]","[00003SC0075, 00187SC0002, 00187SC0008, 00187SC0009, 00187SC0010, 00187SC0015, 00187SC0016]"
APOS01,segmenti,9.1 m,68.77084551,no,APOS01,APOS,II0300,8 m,460.184,II0330,5035481.648,2311893.216,50.57,"[00232, 00189]","[00189SC0001, 00189SC0002, 00189SC0009, 00189SC0018]"
APOS02,segmenti,8.9 m,68.26303124,no,APOS02,APOS,II0330,8 m,448.932,II0365,5035431.827,2311881.721,50.24,"[00232, 00189]","[00189SC0001, 00189SC0002, 00189SC0019]"
APOS03,segmenti,8.3 m,118.1775834,no,APOS03,APOS,II0365,3.2 m,1114.02,II0385,5035360.624,2311826.895,133.63,"[00232, 00189]","[00189SC0003, 00189SC0004, 00189SC0019]"
APOS04,segmenti,7.9 m,155.5623088,no,APOS04,APOS,II0385,4.4 m,1288.7,II0420,5035308.438,2311700.238,162.54,"[00232, 00189]","[00189SC0003, 00189SC0004]"
ARSE01,segmenti,14.9 m,340.4307043,no,ARSE01,ARSE,II0985,11.6 m,3907.16,IE1180,5034560.701,2312706.722,261.94,"[00355, 00232]",[00355SC0001]
ARZE01,segmenti,20.2 m,143.2077668,no,ARZE01,ARZE,II0560,15.4 m,2108.77,II0670,5035053.476,2310006.672,104.21,"[232/1, 00517]",[]
ARZE02,segmenti,15.1 m,83.23336847,no,ARZE02,ARZE,II0670,12.4 m,909.2,II0725,5034964.952,2310033.922,60.06,"[232/1, 00517]",[]
ARZE03,segmenti,39.2 m,87.89646769,no,ARZE03,ARZE,II0725,16.6 m,2180.03,II0765,5034906.587,2310065.884,55.64,"[232/1, 00517]",[]
ARZE04,segmenti,22.1 m,150.3547718,no,ARZE04,ARZE,II0765,16 m,2411.83,II0885,5034826.175,2310080.662,108.89,"[00701, 232/1, 00517]",[00701SC0001]
ASSA01,segmenti,7.5 m,96.2630535,no,ASSA01,ASSA,IE5225,6.9 m,621.569,IE5220,5040119.639,2318002.053,79.64,"[00303, 00211, 00212, 00376, PA490, 00158]","[00303SC0001, 00303SC0002, 00303SC0004]"
ASSA02,segmenti,6.5 m,173.2750167,no,ASSA02,ASSA,IE5230,4.8 m,1365.79,IE5225,5040190.667,2318107.134,215.25,"[00303, IA218, PA490]","[00303SC0001, 00303SC0002, 00303SC0004, 00303SC0005]"
AVOG01,segmenti,8.9 m,162.5459763,no,AVOG01,AVOG,II1080,5.6 m,1646.41,II1185,5034499.606,2310547.072,185.82,"[232/1, 00107, 00517]","[00107SC0002, 00107SC0009]"
BARC01,segmenti,5.9 m,50,si,BARC01,BARC,II0945,5.4 m,158.096,II0960,5034714.04,2311503.186,27.03,"[00099, 00232]","[00099SC0002, 00099SC0014, 00099SC0134]"
BARC02,segmenti,8.4 m,132.8127463,no,BARC02,BARC,II0960,5.4 m,871.08,II1020,5034651.445,2311534.018,103.53,"[00099, 00232]","[00099SC0001, 00099SC0010]"
BARE01,segmenti,7.1 m,110.3923222,no,BARE01,BARE,II0740,3.8 m,683.714,II0815,5034865.874,2311768.158,96.44,[00232],[]
BARE02,segmenti,6.7 m,50,no,BARE02,BARE,II0815,6.3 m,45.6974,II0825,5034826.21,2311729.43,6.88,[00232],[]
BARN01,segmenti,6.9 m,203.1654169,no,BARN01,BARN,II1030,3.8 m,1397.31,II1055,5034584.752,2310825.036,201.13,"[00009, 232/1, 00107, 00517]","[00009SC0105, 00009SC0106, 00107SC0001, 00107SC0002]"
BARN02,segmenti,7.7 m,133.4423227,no,BARN02,BARN,II1055,5.6 m,1014.08,II1080,5034565.955,2310659.378,132.18,"[00009, 232/1, 00107, 00517]","[00009SC0105, 00009SC0106, 00107SC0001, 00107SC0002]"
BASS01,segmenti,17.5 m,300.6801231,no,BASS01,BASS,IE5200,7.9 m,4777.15,II5015,5028070.843,2311673.694,273.58,[],[]
BASS02,segmenti,12.1 m,143.8270424,no,BASS02,BASS,II5015,7.6 m,1606.1,II5020,5027910.35,2311827.493,132.32,[],[]
BATE01,segmenti,9.6 m,395.6520999,no,BATE01,BATE,II0020,5.4 m,4539.65,II0070,5036030.125,2310711.933,472.59,"[00101, 00232]","[00101SC0002, 00101SC0003, 00101SC0005, 00101SC0013, 00101SC0018]"
BATE02,segmenti,18.4 m,70.70223388,no,BATE02,BATE,II0050,15.8 m,830.28,II0070,5035958.346,2310918.45,45.14,"[00101, 00232]","[00101SC0003, 00101SC0005, 00101SC0006, 00101SC0007, 00101SC0017, 00101SC0018]"
BEAT01,segmenti,10.9 m,130.7286788,no,BEAT01,BEAT,II5025,8.2 m,960.841,II5040,5027559.85,2311523.95,88.32,[PA524],[]
BEAT02,segmenti,12 m,423.8181159,no,BEAT02,BEAT,II5040,8.6 m,3913.28,,5027350.401,2311569.949,326.44,[],[]
BECA01,segmenti,4.5 m,241.9658332,no,BECA01,BECA,II0380,2.6 m,1089.27,II0530,5035216.889,2311401.945,241.24,"[00003, 232/1, 00159, 00517, 00187, II509]","[00003SC0073, 00003SC0074, 00187SC0003, 00187SC0004]"
BECA02,segmenti,5.6 m,50,no,BECA02,BECA,II0530,3.6 m,74.3441,II0550,5035123.309,2311321.01,13.22,"[00003, 232/1, 00159, 00517, 00187, II509]","[00003SC0073, 00003SC0074, 00003SC0112, 00187SC0001, 00187SC0003, 00187SC0004]"
BERN01,segmenti,3.8 m,53.79286683,no,BERN01,BERN,II0505,2.4 m,200.714,II0555,5035135.597,2311138.521,52.91,"[232/1, 00102, 00517]","[00102SC0001, 00102SC0002, 00102SC0006, 00102SC0021]"
BIAG01,segmenti,10.3 m,210.2180278,no,BIAG01,BIAG,IE1380,8 m,1697.65,II1415,5033960.354,2310366.797,165.25,"[232/1, 00517]",[]
BIAG02,segmenti,14.3 m,252.098612,no,BIAG02,BIAG,II1415,9 m,2699.43,IE1480,5033784.199,2310283.563,188.07,"[00320, 232/1, 00517]",[00320SC0001]
BOLD01,segmenti,3.2 m,50,no,BOLD01,BOLD,II0390,2.2 m,84.8232,II0415,5035281.812,2311089.077,26.46,"[232/1, 00114, 00430, 00517, 00449]","[00114SC0004, 00114SC0006]"
BOLD02,segmenti,4 m,50,no,BOLD02,BOLD,II0415,3.2 m,152.087,II0440,5035259.536,2311115.754,37.84,"[232/1, 00114, 00517]","[00114SC0001, 00114SC0004, 00114SC0007]"
BOLD03,segmenti,5.6 m,71.59809206,no,BOLD03,BOLD,II0440,4 m,380.203,II0485,5035219.738,2311157.751,67.53,"[00320, 232/1, 00114, 00517, 00187, II509]","[00320SC0010, 00114SC0002, 00114SC0003, 00114SC0007, 00114SC0008, 00114SC0011]"
BOTE01,segmenti,8.3 m,71.85566126,no,BOTE01,BOTE,II0780,5.5 m,502.957,II0835,5034832.699,2310459.098,60.7,"[00003, 232/1, 00462, 00517, II473]","[00003SC0094, II473SC0001, II473SC0010, II473SC0012, II473SC0014]"
BRAZ01,segmenti,8 m,78.65453111,no,BRAZ01,BRAS,II0045,6.6 m,578.459,II0075,5035956.292,2311347.728,72.51,"[00232, 00155, 00179, II519]","[00155SC0006, 00155SC0007, 00155SC0010, 00179SC0003, 00179SC0004, 00179SC0006]"
BRIA01,segmenti,12.7 m,160.3474046,no,BRIA01,BRIA,II0905,9 m,1658.37,II1000,5034701.822,2310423.02,130.33,"[232/1, 00222, 00219, 00462, 00517, II473]","[00219SC0001, 00219SC0002, 00219SC0009, 00219SC0010, 00219SC0012, 00219SC0016, 00219SC0017, II473SC0006, II473SC0007, II473SC0017]"
BUCI01,segmenti,18.8 m,67.72809135,no,BUCI01,BUCI,II0910,18.8 m,1154.26,II0930,5034748.279,2312812.184,0,[00232],[]
BURC01,segmenti,8.2 m,339.6060657,no,BURC01,BURC,II0650,6.6 m,2629.6,II0725,5034979.289,2310215.898,319.46,"[232/1, 00517]",[]
CAFO01,segmenti,11.4 m,66.8453256,no,CAFO01,CAFO,II0800,7.6 m,659.861,II0820,5034832.309,2310673.826,57.71,"[00009, 232/1, 00222, 00517]","[00009SC0125, 00009SC0132, 00009SC0133]"
CAFO02,segmenti,14.7 m,231.4024753,si,CAFO02,CAFO,II0820,9.8 m,3493.03,II0925,5034784.528,2310818.607,237.05,"[00009, 232/1, 00471, 00472, 00517]","[00009SC0126, 00009SC0133]"
CANA01,segmenti,11.4 m,244.8769351,no,CANA01,CANA,IE5140,9.9 m,2825.31,II5005,5032153.798,2313960.45,246.83,"[00371, 00381, PA506]","[00371SC0003, 00371SC0004, 00371SC0005]"
CAND01,segmenti,19.4 m,585.0030095,no,CAND01,CAND,IE5155,9 m,14743.67,II5010,5031443.351,2313783.984,758.55,"[00301, 00369, 00360, 00415, 00422]","[00301SC0001, 00369SC0001, 00360SC0001]"
CANN01,segmenti,23.7 m,209.0690114,no,CANN01,CANN,IE0025,20.4 m,4908.8,II0055,5036045.447,2310387.032,207.38,[00232],[]
CANN02,segmenti,24.8 m,105.6035373,no,CANN02,CANN,II0055,22.2 m,2401.18,II0080,5035942.429,2310509.482,96.77,[00232],[]
CANN03,segmenti,20.3 m,327.8764686,no,CANN03,CANN,II0080,16.2 m,7152.76,II0155,5035825.949,2310707.152,352.46,[00232],[]
CANN04,segmenti,20.7 m,169.5530603,no,CANN04,CANN,II0155,14.8 m,2589.12,II0235,5035672,2310878.834,124.92,[00232],[]
CANO01,segmenti,10 m,372.174501,no,CANO01,CANO,II0795,7.6 m,2814.5,IE1065,5034701.287,2311997.5,281.51,"[00232, II503]",[]
CANT01,segmenti,12.4 m,70.4105279,no,CANT01,CANT,IE5155,10.4 m,859.489,,5031198.547,2313465.9,66.25,[],[]
CARM01,segmenti,12.2 m,115.7789275,no,CARM01,CARM,II1000,11 m,1521.33,II1070,5034601.959,2310400.095,124.53,"[232/1, 00222, 00219, 00517]","[00219SC0003, 00219SC0010, 00219SC0012, 00219SC0015, 00219SC0016]"
CASS01,segmenti,5 m,282.0778993,no,CASS01,CASS,II0355,3.2 m,1264.35,II0500,5035278.433,2311320.138,251.9,"[00320, 232/1, 00159, 00517, 00187, II509]","[00320SC0017, 00320SC0018, 00187SC0005, 00187SC0006]"
CASS02,segmenti,4.9 m,72.15166736,no,CASS02,CASS,II0500,4 m,309.273,II0540,5035151.285,2311227.482,62.59,"[00320, 232/1, 00159, 00517, 00187, II509]","[00320SC0017, 00320SC0018, 00320SC0019, 00320SC0020, 00320SC0029, 00187SC0005, 00187SC0006, 00187SC0007, 00187SC0008, 00187SC0013]"
CATE01,segmenti,8.5 m,51.5605423,no,CATE01,CATE,II0170,7 m,446.926,II0195,5035677.085,2311645.875,52.61,"[00346, 00232, 00189, II502]","[00346SC0006, 00346SC0011, 00189SC0005, 00189SC0020]"
CATE02,segmenti,10.6 m,91.47648941,no,CATE02,CATE,II0195,8.4 m,985.9,II0215,5035642.076,2311714.751,93.34,"[00346, 00232, 00189, II502]","[00346SC0010, 00346SC0011, 00346SC0015, 00189SC0006, 00189SC0010, 00189SC0015, 00189SC0020]"
CATE03,segmenti,10.9 m,147.9756528,no,CATE03,CATE,II0215,8.2 m,1656.85,II0260,5035591.109,2311835.476,151.69,"[00346, 00232, 00189, II502]","[00346SC0008, 00346SC0010, 00189SC0007, 00189SC0008, 00189SC0010, 00189SC0015, 00189SC0016]"
CATM01,segmenti,19.9 m,456.5486584,no,CATM01,CATM,IE5090,15.2 m,7931.76,IE5085,5040157.957,2317248.979,0,[],[]
CAZZ01,segmenti,6.7 m,182.357853,no,CAZZ01,CAZZ,II0745,3 m,1544.12,II0845,5034857.94,2310318.276,229.01,"[00320, 232/1, 00462, 00517, II473]","[00320SC0012, 00320SC0013, 00320SC0014, 00320SC0031, II473SC0002, II473SC0003, II473SC0004, II473SC0008, II473SC0009, II473SC0011, II473SC0015]"
CDIE01,segmenti,12.7 m,74.77900254,no,CDIE01,CDIE,IE5165,10.8 m,937.077,,5030959.548,2313333.948,70.55,[],[]
CDON01,segmenti,25.6 m,304.9817875,no,CDON01,CDON,II2010,17.8 m,6344,II2020,5037107.04,2313364.506,247.94,"[00003, 00230, 00232, 00433]","[00003SC0120, 00003SC0121]"
CDON02,segmenti,20.7 m,441.9476512,no,CDON02,CDON,II2005,14.1 m,8922.13,II2010,5037380.863,2313303.896,430.26,"[00318, 00319, 00003, 00398, 00230, 00232, 00433]","[00318SC0001, 00319SC0001, 00003SC0120, 00003SC0121, 00398SC0001, 00398SC0002]"
CELE01,segmenti,12.5 m,119.7483565,no,CELE01,CELE,IE0520,9.7 m,1508.48,II0610,5035098.709,2312738.112,120.54,"[00004, 00232]",[00004SC0057]
CGRA01,segmenti,83.3 m,329.7079449,no,CGRA01,CGRA,II2020,66.2 m,20070.39,IE5065,5036871.68,2313283.623,240.95,"[00230, 00232, 00433]",[]
CGRA02,segmenti,52 m,262.0618841,no,CGRA02,CGRA,II2030,43.2 m,12915.28,II2020,5037025.174,2313160.397,248.46,"[00230, 00232, 00433]",[]
CGRA03,segmenti,59.6 m,407.5070484,no,CGRA03,CGRA,II2040,32.8 m,25119.98,II2030,5037145.239,2312857.217,421.4,"[00321, 00230, 00232, 00433]",[]
CGRA04,segmenti,134.7 m,334.0702259,no,CGRA04,CGRA,IE5045,108 m,30745.38,II2040,5037289.104,2312542.791,228.35,"[00007, 00230, 00232, 00433]",[]
CHIA01,segmenti,27.4 m,225.0821963,no,CHIA01,CHIA,II0375,18.8 m,5866.43,II0470,5035283.022,2310138.684,214.33,"[232/1, 00370, 00311, 00517]",[]
CHIA02,segmenti,40.7 m,154.8742802,no,CHIA02,CHIA,II0470,34 m,4883.01,II0560,5035168.477,2310019.358,120.13,"[232/1, 00370, 00517]",[]
CIMI01,segmenti,7.3 m,128.6790546,no,CIMI01,CIMI,II5035,4.6 m,699.68,,5027504.1,2311658.648,95.3,[],[]
CINI01,segmenti,40 m,301.4423743,no,CINI01,CINI,II1420,37 m,7845.26,IE1485,5033796.372,2312178.839,196.13,"[232/1, 00517]",[]
CMIS01,segmenti,14.9 m,140.5823192,no,CMIS01,CMIS,IE0100,14.6 m,1600.86,II0130,5035830.633,2311705.029,107.19,[00232],[]
CMIS02,segmenti,23.8 m,118.4344182,no,CMIS02,CMIS,II0130,16.6 m,2235,II0170,5035736.284,2311639.059,94.11,"[00232, 00393]",[]
CMIS03,segmenti,33.9 m,65.36202489,no,CMIS03,CMIS,II0170,1.2 m,1329.34,II0190,5035676.625,2311593,39.22,"[00232, 00393]",[]
COLE01,segmenti,14 m,168.8882536,no,COLE01,COLE,IE5175,12.9 m,2394.67,,5029498.753,2312479.551,170.83,[PA524],[]
CONV01,segmenti,13.1 m,253.8827022,no,CONV01,CONV,II1415,10.6 m,3388.46,II1460,5033828.491,2310458.147,258.9,"[00320, 232/1, 00154, 00517]","[00320SC0001, 00154SC0002, 00154SC0015]"
CORN01,segmenti,4.6 m,179.7561875,no,CORN01,CORN,II0775,3.2 m,766.057,II0970,5034766.101,2311267.137,166.42,"[00108, 00232]","[00108SC0006, 00108SC0008, 00108SC0010, 00108SC0016]"
CREA01,segmenti,5.6 m,313.2903,no,CREA01,CREA,II0080,3.6 m,1496.24,II0185,5035788.906,2310481.908,266.87,"[00346, 00009, 00402, 00232, II498, II504]","[00346SC0016, 00346SC0017, 00009SC0113, 00009SC0114]"
CREA02,segmenti,9.7 m,178.3613463,no,CREA02,CREA,II0140,5.8 m,2031.59,II0185,5035701.525,2310342.173,208.93,"[00009, 00346, 00232, II498, II504]","[00009SC0113, 00009SC0114, 00346SC0016, 00346SC0017, 00346SC0020]"
CREA03,segmenti,11.9 m,110.0811653,no,CREA03,CREA,IE0115,7.6 m,1125.32,II0140,5035805.163,2310230.689,94.36,"[00346, 00009, 00232, 00387, II498, II504]","[00346SC0020, 00009SC0093]"
CROC01,segmenti,9.6 m,335.6899764,no,CROC01,CROC,II1490,5.2 m,2458.29,IE1545,5033562.342,2311398.235,254.98,"[00003, 00334, 232/1, 00517]","[00003SC0122, 00334SC0001]"
CSER01,segmenti,55.7 m,444.7849021,no,CSER01,CSER,II2040,20.5 m,22044.74,IE5075,5037027.299,2312633.128,395.79,"[00230, 00232, 00433, 00444]",[]
CTEO01,segmenti,14.5 m,325.5857233,no,CTEO01,CTEO,IE5060,9.9 m,4720.12,II2010,5037334.601,2313535.66,324.37,"[00346, 00361, 00230, 00232, 00433]","[00346SC0014, 00361SC0001]"
CTIA01,segmenti,14.3 m,687.2242513,no,CTIA01,CTIA,IE5050,10.1 m,10086.97,II2005,5037556.178,2312833.27,703.15,"[00417, 00230, 00232, 00433]",[]
DANI01,segmenti,5.7 m,363.4195288,no,DANI01,DANI,II0955,3.2 m,1691.98,II1195,5034566.32,2313272.059,296.68,"[00160, 00232, II497, 00218, 00220]",[]
DEGO01,segmenti,6.5 m,152.4842978,no,DEGO01,DEGO,II0240,4.4 m,748.506,II0340,5035510.818,2310984.581,115.44,"[232/1, 00113, 00430, 00517, 00450]","[00113SC0002, 00113SC0006]"
DEGO02,segmenti,7.1 m,52.3774431,no,DEGO02,DEGO,II0340,5.4 m,279.815,II0350,5035434.851,2310971.774,39.16,"[232/1, 00113, 00430, 00517, 00450]","[00113SC0002, 00113SC0006]"
DEGO03,segmenti,8.2 m,50,no,DEGO03,DEGO,II0350,7.4 m,61.5121,II0360,5035412.01,2310965.977,7.63,"[232/1, 00113, 00430, 00517, 00450]","[00113SC0002, 00113SC0006]"
DEGO04,segmenti,8.4 m,257.8900067,no,DEGO04,DEGO,II0360,5.2 m,1736.88,II0475,5035311.562,2310964.039,207.21,"[232/1, 00113, 00430, 00517, 00450]","[00113SC0001, 00113SC0002, 00113SC0006]"
DEM101,segmenti,18.9 m,62.99565011,no,DEM101,DEM1,IE5190,17.3 m,740.586,,5028407.45,2311747.699,39.3,[],[]
DEM201,segmenti,22.3 m,142.961226,no,DEM201,DEM2,IE5195,17.1 m,2594.86,,5028302.998,2311726.345,116.31,[],[]
DEMU01,segmenti,11 m,182.1004868,no,DEMU01,DEMU,IE5055,9.9 m,1437.62,II2005,5037610.748,2313198.759,131.12,"[00417, 00230, 00232, 00433]",[]
DGIO01,segmenti,0 m,254.9836136,no,DGIO01,DGIO,,15 m,10911.78,,5034137.698,2312292.406,0,"[232/1, 00517]",[]
DIO001,segmenti,9 m,230.2710298,no,DIO001,DIO,II0975,6 m,1719.14,IE1095,5034610.952,2312596.264,191.33,"[00003, 00115, 00232]","[00003SC0026, 00115SC0002, 00115SC0007]"
DNUO01,segmenti,0 m,654.6678323,no,DNUO01,DNUO,IE0810,22.1 m,97425.56,II0930,5034811.914,2313144.241,0,[00232],[]
DOMI01,segmenti,5.7 m,330.5836872,no,DOMI01,DOMI,II0335,4 m,1606.47,II0485,5035315.157,2311261.074,282.98,"[00003, 232/1, 00114, 00517, 00187, II509]","[00003SC0071, 00114SC0002, 00114SC0003, 00114SC0011]"
DROM01,segmenti,32.4 m,315.453326,no,DROM01,DROM,II5050,10.5 m,12294.81,,5024850.914,2309930.126,378.9,[],[]
DROM02,segmenti,23.4 m,241.4493687,no,DROM02,DROM,IE5235,15.5 m,4181.29,II5050,5025060.523,2309781.566,178.5,[00109],[]
DUCA01,segmenti,4.6 m,210.9461795,no,DUCA01,DUCA,II1135,2.4 m,1561.83,II1210,5034503.026,2311085.096,337.62,"[00003, 00108, 00232]","[00003SC0067, 00108SC0004]"
ELEN01,segmenti,12.5 m,600.9634599,no,ELEN01,ELEN,IE1395,9.4 m,5751.72,IE1530,5033760.623,2313750.998,459.93,"[00003, 00232, 00445]",[00003SC0058]
ERBE01,segmenti,4.4 m,107.8880436,no,ERBE01,ERBE,II0690,3.6 m,402.163,II0760,5034937.386,2311181.575,91.5,"[232/1, 00102, 00517]","[00102SC0003, 00102SC0014]"
EUFE01,segmenti,8.6 m,168.5382343,no,EUFE01,EUFE,IE1405,7.6 m,1113.12,II1460,5033850.582,2310606.606,129.56,"[232/1, 00154, 00517]","[00154SC0002, 00154SC0015]"
EUFE02,segmenti,9 m,291.4977228,no,EUFE02,EUFE,II1460,6.8 m,2055.94,IE1525,5033665.719,2310542.532,228.2,"[232/1, 00154, 00420, 00429, 00517]","[00154SC0002, 00154SC0015, 00429SC0003]"
FALB01,segmenti,26.6 m,384.3562627,no,FALB01,FALB,,6.9 m,9579.69,,5024826.648,2309712.645,360.1,[00109],[]
FAVA01,segmenti,7.1 m,50,no,FAVA01,FAVA,II0565,5.4 m,76.6548,II0585,5035096.674,2311787.648,10.92,"[00103, 00232]",[00103SC0006]
FAVA02,segmenti,8.9 m,235.544988,no,FAVA02,FAVA,II0585,6.4 m,1711.91,II0740,5034995.201,2311777.377,192.52,"[00103, 00232]","[00103SC0006, 00103SC0027, 00103SC0029]"
FELI01,segmenti,8.7 m,114.140457,no,FELI01,FELI,II0190,5.4 m,847.321,II0250,5035618.04,2311560.621,97.7,"[00003, 00112, 00232]","[00003SC0039, 00003SC0047, 00112SC0004, 00112SC0007, 00112SC0015]"
FELI02,segmenti,6 m,190.2443345,no,FELI02,FELI,II0250,4 m,985.174,II0355,5035506.464,2311477.836,163.26,"[00112, 00232]","[00112SC0005, 00112SC0007, 00112SC0015]"
FERA01,segmenti,5.1 m,50,no,FERA01,FERA,II0815,4.2 m,179.74,II0830,5034816.182,2311752.049,35.47,[00232],[]
FERA02,segmenti,4.9 m,141.7949724,no,FERA02,FERA,II0830,2.7 m,668.174,II0950,5034762.791,2311798.166,136.44,[00232],[]
FIS001,segmenti,20 m,220.7244613,no,FIS001,1FIS,II1410,12.6 m,3311.82,IE1475,5033803.291,2309805.513,165.75,"[232/1, 00517]",[]
FIS002,segmenti,11.3 m,142.9047775,no,FIS002,2FIS,II1425,4.4 m,1225.3,IE1465,5033800.756,2309923.097,108.37,"[00346, 232/1, 00517]","[00346SC0002, 00346SC0004, 00346SC0012]"
FORM01,segmenti,6.3 m,143.25463,no,FORM01,FORM,II0680,3.2 m,1042.09,II0755,5034944.9,2312082.396,164.58,"[00103, 00232]","[00103SC0015, 00103SC0019, 00103SC0022, 00103SC0032, 00103SC0112, 00103SC0115, 00103SC0118]"
FORN01,segmenti,4.7 m,136.8199327,no,FORN01,FORN,II1280,3.4 m,489.257,II1320,5034255.763,2311355.117,104.28,"[232/1, 00130, 00517]","[00130SC0001, 00130SC0004]"
FORN02,segmenti,8.7 m,221.9170559,no,FORN02,FORN,II1320,4.4 m,1468.94,IE1390,5034118.762,2311364.377,168.65,"[232/1, 00130, 00517]","[00130SC0001, 00130SC0004]"
