Code,Introduction (English),Introduzione (Italiano)
MEGI,"The deposits of megio (miles) used to package bread, occupied the building located at the intersection of the river with the Grand Canal.�Original building, completely renovated inside, the fa�ade remains today is facing the Grand Canal, back on the foundation to ensure unloading of goods.�On the opposite side is the Fondaco of the Turks: the original building was in the form of house-XIII century Byzantine warehouse, with a porch on the ground floor punctuated by ten arches between the two lateral towers.�In the seventeenth century the Turks was intended to be used as a hotel and warehouse.�Today it houses the Museum of Natural History.","I depositi del megio (miglio), usato per confezionare il pane, occupavano l'edificio posto nel punto d'intersezione del rio col Canal Grande. Dell'originaria costruzione, ristrutturata completamente all'interno, oggi � rimasta la facciata rivolta verso Canal Grande, arretrata sulla fondamenta per garantire lo scarico delle merci. Sul lato opposto si trova il Fondaco dei Turchi: l'edificio originario aveva la forma di casa-fondaco bizantina del XIII secolo, con porticato a piano terra ritmato da dieci arcate comprese tra le due torrette laterali. Nel Seicento fu destinato ai turchi per essere utilizzato come albergo e fondaco. Oggi � sede del Museo di storia naturale."
DEGO,"",""
FUSE,"",""
PLON,"",""
MUTI,"The family arrived in Muti Venice in the second half of the fifteenth century Lombardy.�Divisasi in various branches, all belonging to the original citizenship, settled in the district of St. Martial.�Corner of the stream of the Moors is one shipyard, owned by the family Da Mosto, who recently ceased its activities.�In this site for the construction and repair of boats, were for the first time made the mascarete typical racing yachts that have been used in the sport around the twenties of this century.","La famiglia Muti giunse a Venezia nella seconda met� del XV secolo dalla Lombardia. Divisasi in vari rami, tutti appartenenti alla cittadinanza originaria, si insedi� nella contrada di San Marziale. All'angolo con il rio dei mori sorge uno squero, di propriet� della famiglia Da Mosto, che ha recentemente cessato la sua attivit�. In questo cantiere per la costruzione e riparazione di imbarcazioni, vennero per la prima volta fabbricate le mascarete, tipiche imbarcazioni da regata che hanno trovato impiego in questo sport attorno agli anni Venti di questo secolo."
MARC,"A document dated April 1069 appointing the brook Hermacore de Sancti Luprio and attests to the ancient presence of the river and the nearby parish church dedicated to Saints Ermagora and Fortunato, whose cult spread to Venice after the discovery of the relics of Grado two martyrs .�Renewed by Giorgio Massari in the eighteenth century, the church inside Last Supper by Tintoretto, built in 1547.�A massive fire in the winter of 1789 devastated the district of San Marcuola.�The event is documented by the painting by Francesco Guardi (The fire S.Marcuola, 1789, detail below) who was an eyewitness.","Un documento dell'aprile 1069 nomina il rivo Sancti Hermacore de Luprio e attesta l'antica presenza del rio e della vicina chiesa parrocchiale dedicata ai Santi Ermagora e Fortunato, il cui culto si diffuse a Venezia dopo il ritrovamento a Grado delle reliquie dei due martiri. Rinnovata da Giorgio Massari nel XVIII secolo, la chiesa conserva al suo interno Ultima cena del Tintoretto, realizzata nel 1547. Un violento incendio devast� nell'inverno 1789 la contrada di San Marcuola. L'evento � documentato dal dipinto di Francesco Guardi (L'incendio di San Marcuola, 1789, particolare a destra) che ne fu testimone oculare."
BRIA,"The hydronym is definitely related to the transfer from Venice Murano glass factory of Joseph Briati, made in 1739, in the records of the second half of the eighteenth century the foundations along the stream, visible on the right, is in fact called 'the Briati '.�The headquarters of crystal production, located in the neighboring district dell'Anzolo Rafael, near the so-called red bridge, ceased its activity around 1790.�Half a century later, the local and the large adjoining land were used as a restaurant.Joseph Briati died in Murano, in the district of Santo Stefano, January 19, 1772.","L'idronimo � sicuramente connesso al trasferimento da Murano a Venezia della fabbrica di cristalli di Giuseppe Briati, effettuato nel 1739; nei documenti della seconda met� di quel secolo XVIII la fondamenta che costeggia il rio, visibile sulla destra, � infatti chiamata 'del Briati'. La sede di produzione di cristalli, situata nella vicina contrada dell'Anzolo Rafael, vicino al cosiddetto ponte rosso, cess� la sua attivit� attorno al 1790. Mezzo secolo pi� tardi i locali e l'ampio terreno annesso vennero usati come trattoria. Giuseppe Briati mor� a Murano, in contrada di Santo Stefano, il 19 gennaio 1772."
TENT,"The river is crossed by seven bridges: Ponte Storto, bridge of the Guardians, a name that recalls the 'guardians' or 'chamberlains' school of devotion of some who lived in this area, Red bridge, bridge of Our Lady of Ragusei bridge and two bridges private.�Along the river there are two halls of the late sixteenth century united by an arch surmounted by a crest, and the houses Bonazza, large building of the end of the sixteenth century.","Il rio � attraversato da sette ponti: ponte Storto, ponte dei Guardiani, nome che ricorda i 'guardiani' o 'gastaldi' di qualche scuola di devozione che abitavano in questa zona, ponte Rosso, ponte della Madonna, ponte dei Ragusei e due ponti privati. Lungo il rio sorgono due palazzetti del tardo Cinquecento uniti da un arco sormontato da uno stemma, e le case Bonazza, grande fabbricato della fine del XVI secolo."
NOVO,"The river, newly excavated between 1932 and 1933, was obtained from the demolition of the vast forest that was part of the garden Papadopoli, whose family owns lived in a seventeenth-century building adjacent said Ca-Foresti Papadopoli.�The broad river was designed to quickly connect the car with the new square San Marco basin and the Lido, which focused on areas - always - the interest of the political class in favor of a tourist town.�Warehouses for use by waxworks and other small trading settlements succumbed to allow the extension of the new channel to the Rio di Ca 'Foscari, as well as streets and courtyards disappeared in turn replaced by bridges and deeply.�The remainder of the gardens, let us see how the image, were housed for a few years, two African lions: Marco and Rome, a tribute of the then governor of the fourth side, Graziani, to the city.","Il rio, escavato ex novo tra il 1932 e il 1933, venne ricavato dallo sventramento del vasto polmone verde che faceva parte del giardino Papadopoli, la cui famiglia proprietaria risiedeva in un attiguo palazzetto secentesco detto C� Foresti-Papadopoli. Il largo rio aveva lo scopo di collegare in maniera rapida il nuovo piazzale automobilistico con il bacino San Marco ed il Lido, zone su cui si focalizzava - da sempre - l'interesse della classe politica in favore di una citt� turistica. Magazzini ad uso di cereria ed altre piccoli insediamenti commerciali dovettero soccombere per consentire il prolungamento del nuovo canale verso il rio di Ca' Foscari, cos� come scomparvero calli e corti, a loro volta sostituite da ponti e fondamente. Nella parte rimanente dei giardini, come ci lascia vedere l'immagine, vennero ospitati per alcuni anni due leoni africani: Marco e Roma, omaggio dell'allora governatore della quarta sponda, Graziani, alla citt�."
GUER,"The picture on the right shows us the narrow river, or rather Rielo, de war, sometimes called the Blessed, for its proximity to the eponymous Gothic building whose main facade faces the Rio Santa Sofia, which was denied access to water (previously in force) due to the demolition of the old arched bridge occurred about twenty years ago.�In its place was rebuilt a modern bridge plan, that if one side has facilitated the pedestrian traffic, on the other hand has blocked the aqueous.�The Rio de la guerra owes its name to the numerous struggles of punches that saw opposing the Castellani and Nicolotti at various locations in the city, as evidenced even today the name 'Bridge of punches' on the canals of Santa Fosca and St. Barnabas.","L'immagine a lato ci fa vedere lo stretto rio, o meglio rielo, de la guerra, talvolta chiamato dei Benedetti, per la vicinanza con l'omonimo edificio gotico la cui facciata principale fronteggia il rio di Santa Sofia, al quale � stato negato l'accesso acqueo (precedentemente vigente) per via della demolizione del vecchio ponte ad arco avvenuta all'incirca una ventina d'anni or sono. Al suo posto fu rifatto un moderno ponte piano, che se da un lato ha facilitato la viabilit� pedonale, dall'altro ha bloccato quella acquea. Il rio de la guerra deve il suo nome alle numerose lotte dei pugni che vedevano contrapposti i Castellani ed i Nicolotti, in varie zone della citt�, come testimonia ancor oggi il toponimo 'ponte dei pugni' sui rii di Santa Fosca e di San Barnaba."
VIN,"In Venice, the boats carrying wine docked at the Rialto and the Riva degli Schiavoni, at the bridge, for that reason is called 'vin'.�At the foot of the bridge is Dandolo palace of the XV century, belonged to one of the most ancient and noble families of Venice.�In 1822 the building was purchased by Joseph Niel and used as a luxury hotel with the name of 'Danieli', function they have today.","A Venezia le barche che trasportavano il vino approdavano a Rialto e in riva degli Schiavoni, all'altezza del ponte che per tale motivo � chiamato 'del vin'. Ai piedi del ponte sorge palazzo Dandolo, del XV secolo, appartenuto a una tra le pi� antiche e illustri famiglie di Venezia. Nel 1822 il palazzo fu acquistato da Giuseppe da Niel e adibito ad albergo di lusso con il nome di 'Danieli', funzione che assolve tutt'oggi."
BIAG,"",""
SACM ,"",""
SACB,"",""
MAUR,"",""
MICH,"",""
LORE,"Recent archaeological finds in the area of ??the church of San Lorenzo attesterebbero local presence of buildings used for worship since the early centuries after Christ.�A church dedicated to the saint, according to tradition was founded by the Roman Partecipazio, next to an existing Benedictine monastery was rebuilt at the end of the sixteenth century by the proto Simon Sister.�After 1810 the adjacent convent was used as a house of industry for employment of the poor and is now a rest home for the elderly, while the church was reopened to the interest of the abbot Daniel Canal, it was housed in the tomb Marco Polo, which have lost the traces probably during the restructuring of the sixteenth century.�Gentile Bellini's painting reproduced here (The Miracle of the Cross, 1496-1500) focuses on the bridge that connects the San Lorenzo area with the eponymous foundation (photo), the episode occurred in 1369 during the annual solemn procession of the School granda of San Giovanni Evangelista.�The relic of the Holy Cross fell from the bridge into the river below, was miraculously above the water and could be recovered by Andrea Vendramin, guardian grando School.","Recenti ritrovamenti archeologici nell'area dell'attuale chiesa di San Lorenzo attesterebbero la presenza in loco di edifici destinati al culto fin dai primi secoli dopo Cristo. Una chiesa dedicata a quel santo secondo la tradizione sarebbe stata fondata da Romana Partecipazio, accanto ad un preesistente monastero benedettino e fu poi ricostruita alla fine del Cinquecento dal proto Simon Sorella. Dopo il 1810 l'adiacente convento fu destinato a Casa d'industria per dar lavoro ai poveri ed � attualmente una Casa di riposo per anziani, mentre la chiesa fu riaperta al culto per interessamento dell'abate Daniele Canal; in essa era ospitata la tomba di Marco Polo, della quale si sono perdute le tracce probabilmente nel corso delle ristrutturazioni del XVI secolo. Il dipinto di Gentile Bellini qui riprodotto (Il miracolo della Croce, 1496-1500) � focalizzato sul ponte che collega il campo San Lorenzo con l'omonima fondamenta (foto a fianco); ricorda l'episodio occorso nel 1369 durante l'annuale solenne processione della Scuola granda di San Giovanni Evangelista. Il reliquiario della Santa Croce, caduto dal ponte nel rio sottostante, rimase miracolosamente a fior d'acqua e pot� essere recuperato da Andrea Vendramin, guardian grando della Scuola."
SCOM,"Scomenzera mean channel started by man.�This newly formed channel is of great importance because it puts in communication the canal de Santa Chiara, which in turn communicates with the Grand Canal and the Giudecca canal.�Crosses the island of Santa Marta, occupied from the harbor and the former cotton mill, now the home of two city universities.","Scomenzera significa canale iniziato dall'uomo. Questo canale di recente formazione � di grande importanza perch� mette in comunicazioni il canal de Santa Chiara, che a sua volta comunica con il Canal Grande e il canal della Giudecca. Attraversa l'isola di Santa Marta, occupata dalla stazione marittima e dall'ex cotonificio, ora sede delle due universit� veneziane."
ZANI,"",""
GIUS,"The church of Santa Giustina was annually visited by the Doge to commemorate the victory of Lepanto on 7 October 1571: on this occasion the Doge gave the nuns the convent a few gold coins called 'Giustine'.�Closed for worship in 1810, was used with the adjoining convent for various uses; recently became the headquarters of the Scientific Lyceum 'Blessed' and is currently the subject of a major restoration.�The facade of the building is documented in the lower right corner of the incision Carlevarijs Luke, Church of Santa Giustina Augustinian Nuns, 1703.�It overlooks the river the eighteenth century palace Top-Zon, with the eponymous bridge, whose original building dates back to the fourteenth century.�The family Zon reached Venice in ancient times.�Among his descendants Tassini mentions Michael, whom Pope Eugene IV in 1444 gave eight galleys for the war against the Turks.","La chiesa di Santa Giustina veniva annualmente visitata dal doge per commemorare la vittoria di Lepanto avvenuta il 7 ottobre 1571: in quest'occasione il doge regalava alle monache dell'annesso convento alcune monete d'oro dette 'giustine'. Chiusa al culto nel 1810, fu adibita con l'annesso convento a vari usi; da ultimo divenne sede del Liceo scientifico 'Benedetti' e attualmente � oggetto di un radicale restauro. La facciata dell'edificio � documentata in basso a destra dall'incisione di Luca Carlevarijs, Chiesa di Santa Giustina Monache Agostiniane, 1703. Si affaccia sul rio il settecentesco palazzo Cima-Zon, con l'omonimo ponte, la cui costruzione originaria risale al XIV secolo. La famiglia Zon giunse a Venezia in tempi antichi. Fra i suoi discendenti il Tassini menziona Michele, al quale il papa Eugenio IV nel 1444 affid� otto galere per la guerra contro i turchi."
GALE,"The galleys were the ships of an innovative nature, derived from traditional prisons, but smaller and more weapons.�It was thanks to this brand new ship type, first introduced by the Venetian fleet, which was won the great battle of Lepanto in October 1571, which put a brake decided Empire Turkish expansionism.�This wide channel runs exclusively within the crenellated walls of the Arsenal, who glimpsed in the painting by William Turner (The Arsenal, 1840) where, in the great faces covered in fifteenth-century (at the bottom in the picture) were built around the mid-sixteenth century, but these innovative boats","Le galeazze erano delle navi di tipo innovativo, derivate dalle tradizionali galere, ma di dimensioni e armamento maggiori. Fu anche grazie a questa inedita tipologia navale, introdotta per prima dalla flotta della Serenissima, che venne vinta la grande battaglia di Lepanto nell'ottobre 1571, che pose un deciso freno all'espansionismo dell'impero Turco. Questo ampio canale corre esclusivamente all'interno delle mura merlate dell'Arsenale, che s'intravvedono nel dipinto di William Turner (The Arsenal, 1840) dove, nei grandi volti coperti d'impianto quattrocentesco (in basso nella fotografia) vennero costruite, attorno alla met� del XVI secolo, anche queste innovative imbarcazioni"
TOLE,"",""
MALP,"In the corner, between the river and the Grand Canal, there was once a palace owned by the family Michiel, nicknamed the Malpaga the name of a castle built by Michiel Fantino in 1425 in Ragusa.�In this area, at the beginning of the twentieth century, was built by the architect Giuseppe Berti, Stern building, in neo-Gothic style.�On the opposite side of the channel there is Palazzo Moro.�The building was rebuilt in the early sixteenth century, contains a fa�ade 'to Lombardesca' extremely simple and unadorned marble, except for some floral motifs present on the top of the arches of polifora.","In angolo, tra il rio e il Canal Grande, esisteva un tempo un palazzo di propriet� della famiglia Michiel, soprannominata del Malpaga dal nome di un castello costruito da Fantino Michiel nel 1425 a Ragusa. In quest'area, all'inizio del Novecento, fu costruito, dall'architetto Giuseppe Berti, palazzo Stern, in stile neogotico. Sul lato opposto del canale si trova palazzo Moro. L'edificio, ricostruito all'inizio del XVI secolo, conserva una facciata 'alla lombardesca' estremamente semplificata e priva di ornamenti marmorei, fatta eccezione per alcuni motivi floreali presenti sul colmo degli archi della polifora."
LUNA,"",""
GRIS,"The stream wedged in tight between the buildings and Lion-Erizzo Bollani, overlooking the Grand Canal near the picturesque courtyard of remer.�Its ancient name is related to the homonymous church, built at the turn of the eleventh century by the family Cattaneo, rebuilt in 1497 and designed by Lombardo and consecrated in 1525.�The bell tower was rebuilt in 1531 by moving it from the old location to the current one to allow the widening of the narrow and busy salizada.�At the confluence with the Rio di San Lio and Miracles stood the ancient houses of the Polo - of which traces remain in the nearby courtyard of the Milion - demolished in the eighteenth century to allow the construction of the theater St. John Chrysostom: The current Malibran theater, recently radical restoration that has allowed to identify the presence on site of ancient settlements.","Il rio s'incunea in una strettoia fra i palazzi Lion e Bollani-Erizzo, affacciati sul Canal Grande nei pressi della pittoresca corte del remer. La sua antica denominazione � legata all'omonima chiesa, edificata sullo scorcio dell'XI secolo dalla famiglia Cattaneo, ricostruita a partire dal 1497 su disegno del Lombardo e consacrata nel 1525. Anche il campanile venne ricostruito, spostandolo nel 1531 dalla posizione precedente a quella attuale per permettere l'allargamento della stretta e trafficata salizada. Alla confluenza con il rio di San Lio e dei Miracoli sorgevano le antiche case dei Polo - delle quali rimane traccia nella vicina corte del Milion - demolite nel XVIII secolo per consentire la costruzione del teatro San Giovanni Grisostomo: l'attuale teatro Malibran, recentemente sottoposto a radicali restauri che hanno consentito d'individuare la presenza in loco d'insediamenti antichissimi."
CASS,"Cassan is the dialect corruption of 'Cassian', the patron saint of the ancient church which overlooks the tenth century on this river (pictured below).�Originally dedicated to St. Cecilia (patron saint of music) changed its name after one of the many rifabbriche, the church of San Cassan was known for its lack of qualities attributed to his religious piety in the late sixteenth century, devoted to playing cards, fornication and drinking.�The eponymous river takes us into the large area Rialto, canals parallel to the becarie de, do de the tower, de la pergola and Mocenigo, to end in cross rio de la Madoneta that leads back to the Grand Canal at San Polo .�On it is overlooked by many prominent buildings, including the Ca 'Albrizzi with the adjoining garden, Ca' da Mosto hours Muti then Baglioni, Ca 'Miani and Ca' Favretto.","Cassan � corruzione dialettale di 'Cassiano', santo titolare dell'antichissima chiesa che si affaccia dal X secolo su questo rio (foto in basso). Dedicata in origine a Santa Cecilia (patrona della musica) mut� il suo nome dopo una delle numerose rifabbriche; la chiesa di San Cassan fu nota per le scarse doti di pietas attribuite ai suoi religiosi alla fine del XVI secolo, dediti al gioco delle carte, alla fornicazione ed al bere. L'omonimo rio s'inoltra nella vasta area realtina, parallelamente ai rii de le becarie, de le do torre, de la pergola e Mocenigo, per terminare nel trasversale rio de la Madoneta che sbocca nuovamente in Canal Grande all'altezza di San Polo. Su di esso si affacciano numerosi edifici di rilievo, tra cui la Ca' Albrizzi con l'annesso giardino, Ca' Muti poi Baglioni ora Da Mosto, Ca' Miani e Ca' Favretto."
BERN,"",""
GRAN,"",""
SERV,"The Church of the Servants, which have saved two Gothic portals, with the convent was founded in the fourteenth century, a time rich in history and works of art in 1806 was suppressed by order of Napoleon, and sold to an entrepreneur (a such Brazzoduro), that the demolished in order to obtain a construction material.�A right view of the church of Santa Maria dei Servi, represented by Domenico Lovisa in the nineteenth century.","La chiesa dei Servi, della quale si sono salvati due portali gotici, fu fondata insieme al convento nel XIV secolo; ricca un tempo di memorie storiche e capolavori d'arte, nel 1806 fu soppressa per disposizione napoleonica, e venduta a un imprenditore (un tale Brazzoduro), che la demol� per ricavarne materiale da costruzione. A destra, veduta della chiesa di Santa Maria dei Servi, rappresentata da Domenico Lovisa nel XIX secolo."
GIOR,"",""
BARE,"In the immediate vicinity of the bridge, one of the widest in the city, there were many shops, manufacturers of hats: the Bareteri, Craft Gild documented since at least 1281, merged in 1506 into one of marz�ri (haberdashers), which gave its name to pedestrian path that connects the Rialto area with the pavement.�Corner of Marzaria de San Salvador, on the sotoportego of water (on the left in the photo below), the first floor of a Renaissance building houses the�casino�in the eighteenth century it was owned by the procuratoressa Venier.�Inside each room is richly decorated with polychrome stucco settecentesci, inlaid marble floors and fireplaces adorned with contemporary ceramics.�The river Bareteri in some documents of Judges Piovego of August 1541 is called 'the Marzaria'.","Nelle immediate adiacenze dell'omonimo ponte, uno dei pi� larghi della citt�, erano attive numerose botteghe di fabbricanti di copricapi: i baret�ri, corporazione di mestiere documentata almeno dal 1281, confluita nel 1506 in quella dei marz�ri (merciai) che diede il nome al percorso pedonale che collega l'area realtina con quella marciana. All'angolo con la marzaria de San Salvador, sopra il sotoportego de le acque (a sinistra nella fotografia in basso), il primo piano di un edificio rinascimentale ospita il casino che nel XVIII secolo fu propriet� della procuratoressa Venier. All'interno ogni ambiente � riccamente decorato con policromi stucchi settecentesci, pavimenti a tars�e marmoree e caminetti impreziositi da coeve maioliche. Il rio dei bareteri in alcuni documenti dei Giudici del piovego dell'agosto 1541 viene chiamato 'di marzaria'."
