"!!id","!!type","ID dell'isola","dissesto","zoom","primo rilevatore","presenza porta d'acqua","n° anelli acciaio su pav","n° anelli ferro","estensione degrado","estensione dissesto","ID del segmento","tipologia","degrado","ragione giuridica","ID","sovrastruttura","Y","n° anelli ferro su pav","X","note","materiale","scarichi fognari","n° anelli anelli mancanti","n° anelli acciaio","scarichi pluviali","progressivo","lunghezza (m)","jobs","jobItems"
"2POZANDR02000012","sponde","2POZ","assente","50.0000000001471","Plotting","no","0","0","generalizzata","nulla","ANDR02","sponda sotto ponte","leggero","pubblica","2POZANDR02000012","non rilevato","5035559.34475009","0","2311705.11988557","","pietra","0","0","0","0","000012","3.23","[00003, 00112, 00232, 00448]","[00448SP0004, 00448SP0005, 00448SP0007]"
"2POZANDR02000013","sponde","2POZ","assente","49.999999999834","Plotting","no","0","0","generalizzata","nulla","ANDR02","sponda","leggero","privata","2POZANDR02000013","non rilevato","5035560.93447778","0","2311699.57841848","","pietra","1","0","0","1","000013","8.32","[00003, 00112, 00232, 00448]","[00448SP0005, 00448SP0007, 00448SP0009]"
"2POZANDR02000014","sponde","2POZ","assente","50.000000000165","Plotting","si","0","0","generalizzata","nulla","ANDR02","sponda","leggero","privata","2POZANDR02000014","non rilevato","5035563.40405477","0","2311692.50315247","","pietra","0","0","0","0","000014","6.62","[00003, 00112, 00232, 00448]","[00112SP0401, 00448SP0007, 00448SP0009]"
"2POZGUER01000015","sponde","2POZ","assente","49.9999999998848","Plotting","no","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000015","non rilevato","5035563.08410957","0","2311688.56970039","","composito","0","0","0","0","000015","3.15","[00003, 00112, 00232, 00448]","[00112SP0136, 00112SP0401, 00448SP0009]"
"2POZGUER01000016","sponde","2POZ","assente","50.000000000147","Plotting","no","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000016","non rilevato","5035558.07496759","0","2311685.84844423","","composito","1","0","0","2","000016","7.32","[00112, 00232, 00448]","[00112SP0136, 00112SP0401, 00112SP0403]"
"2POZGUER01000017","sponde","2POZ","assente","49.9999999997695","Plotting","si","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000017","non rilevato","5035553.37577252","0","2311683.15192677","","composito","3","0","0","1","000017","4.45","[00112, 00232]","[00112SP0136, 00112SP0137, 00112SP0403]"
"2POZGUER01000018","sponde","2POZ","assente","49.9999999998849","Plotting","no","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000018","non rilevato","5035548.72656888","0","2311680.47190177","","mattoni","1","0","0","1","000018","6.27","[00112, 00232]","[00112SP0137, 00112SP0138, 00112SP0403]"
"2POZGUER01000019","sponde","2POZ","assente","50.0000000002524","Plotting","no","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000019","non rilevato","5035544.27733099","0","2311677.800123","","mattoni","1","0","0","1","000019","4.1","[00112, 00232]","[00112SP0137, 00112SP0138, 00112SP0139]"
"2POZGUER01000020","sponde","2POZ","medio","49.9999999998015","Plotting","no","0","0","generalizzata","puntuale","GUER01","sponda","leggero","privata","2POZGUER01000020","non rilevato","5035541.11787217","0","2311675.83752008","","mattoni","1","0","0","1","000020","3.33","[00112, 00232]","[00112SP0138, 00112SP0139, 00112SP0404]"
"2POZGUER01000021","sponde","2POZ","assente","49.9999999996554","Plotting","no","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000021","non rilevato","5035532.84928851","0","2311670.63414846","","pietra","4","0","0","2","000021","16.19","[00112, 00232]","[00112SP0139, 00112SP0404, 00112SP0405]"
"2POZGUER01000022","sponde","2POZ","assente","50.0000000000029","Plotting","no","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000022","non rilevato","5035518.39176494","0","2311661.66224938","","composito","1","0","0","1","000022","17.83","[00112, 00232]","[00112SP0144, 00112SP0404, 00112SP0405]"
"2POZGUER01000023","sponde","2POZ","assente","50.0000000003054","Plotting","si","0","0","generalizzata","nulla","GUER01","sponda","leggero","privata","2POZGUER01000023","non rilevato","5035499.95492299","0","2311650.34842076","","pietra","2","0","0","1","000023","17.33","[00112, 00232]","[00112SP0144, 00112SP0405, 00112SP0406]"
"2POZGUER01000024","sponde","2POZ","assente","49.9999999999457","Plotting","no","0","0","generalizzata","nulla","GUER01","sponda sotto ponte","leggero","privata","2POZGUER01000024","non rilevato","5035494.90578786","0","2311647.16537568","","altro","0","0","0","0","000024","2.68","[00003, 00112, 00232]","[00112SP0144, 00112SP0198, 00112SP0406]"
"2POZPRIU03000025","sponde","2POZ","assente","50.0000000002728","Plotting","no","0","0","generalizzata","nulla","PRIU03","sponda","leggero","privata","2POZPRIU03000025","non rilevato","5035490.25658422","0","2311653.63866684","","pietra","0","0","0","0","000025","15.96","[00003, 00112, 00232, 00448]","[00112SP0198, 00112SP0201, 00112SP0406]"
"2POZPRIU03000026","sponde","2POZ","assente","50.0000000000086","Plotting","no","0","0","generalizzata","nulla","PRIU03","sponda","medio","pubblica","2POZPRIU03000026","non rilevato","5035485.75735489","0","2311662.67653578","","pietra","1","0","0","0","000026","4.19","[00003, 00112, 00232, 00448]","[00112SP0198, 00112SP0201, 00112SP0202]"
"2POZPRIU03000027","sponde","2POZ","assente","49.9999999998754","Plotting","no","0","2","generalizzata","nulla","PRIU03","riva d'acqua","medio","pubblica","2POZPRIU03000027","non rilevato","5035484.26761007","0","2311665.48850048","","pietra","0","0","0","0","000027","2.16","[00003, 00112, 00232, 00448]","[00112SP0201, 00112SP0202, 00112SP0203]"
"2POZPRIU03000028","sponde","2POZ","assente","50.0000000000655","Plotting","no","0","0","generalizzata","nulla","PRIU03","sponda","leggero","pubblica","2POZPRIU03000028","non rilevato","5035482.69787895","0","2311668.46538979","","pietra","0","0","0","0","000028","4.55","[00003, 00112, 00232, 00448]","[00112SP0202, 00112SP0203, 00112SP0204]"
"2POZPRIU03000029","sponde","2POZ","assente","50.000000000147","Plotting","si","0","0","generalizzata","nulla","PRIU03","sponda","leggero","privata","2POZPRIU03000029","non rilevato","5035475.00919595","0","2311682.07991681","","pietra","1","0","0","1","000029","15.89","[00003, 00112, 00232, 00448]","[00112SP0203, 00112SP0204, 00112SP0208]"
"2TOR2TOR01000030","sponde","2TOR","assente","49.9999999997908","Plotting","no","0","0","generalizzata","nulla","2TOR01","sponda","leggero","privata","2TOR2TOR01000030","non rilevato","5035188.20832214","0","2311181.30281411","","mattoni","1","0","0","0","000030","4.57","[00003, 232/1, 00114, 00159, 00517, 00187, II509]","[00114SP0199, 00114SP0200, 00114SP0201]"
"2TOR2TOR01000031","sponde","2TOR","assente","49.9999999999804","Plotting","no","0","0","generalizzata","nulla","2TOR01","sponda","leggero","privata","2TOR2TOR01000031","assente","5035182.19935142","0","2311174.0378848","","pietra","0","0","0","1","000031","14.26","[00003, 00320, 232/1, 00114, 00159, 00517, 00187, II509]","[00114SP0200, 00114SP0201, 00114SP0202, 00187SP0291]"
"2TORCASS01000034","sponde","2TOR","leggero","50.0000000002702","Plotting","no","0","0","generalizzata","puntuale diffusa","CASS01","sponda","leggero","pubblica","2TORCASS01000034","balaustra in pietra","5035180.17969737","0","2311246.60471568","","pietra","3","0","0","0","000034","20.71","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0043, 00187SP0233]"
"2TORCASS01000035","sponde","2TOR","leggero","49.9999999999925","Plotting","no","0","0","generalizzata","generalizzata","CASS01","sponda sotto ponte","leggero","pubblica","2TORCASS01000035","altro","5035189.13816287","0","2311252.47603199","","pietra","0","0","0","0","000035","2.64","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0043, 00187SP0233, 00187SP0234]"
"2TORCASS01000036","sponde","2TOR","leggero","49.9999999999423","Plotting","no","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","pubblica","2TORCASS01000036","parapetto in muratura","5035197.14679107","0","2311259.29566484","","pietra","1","0","0","0","000036","27.67","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0043, 00187SP0234]"
"2TORCASS01000037","sponde","2TOR","leggero","50.0000000003446","Plotting","no","0","2","generalizzata","generalizzata","CASS01","riva d'acqua","leggero","pubblica","2TORCASS01000037","non rilevato","5035212.44417078","0","2311271.74747331","","pietra","0","0","0","0","000037","1.97","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0234]"
"2TORCASS01000038","sponde","2TOR","leggero","49.9999999999286","Plotting","no","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","pubblica","2TORCASS01000038","parapetto in muratura","5035216.43348745","0","2311274.52645308","","mattoni","1","0","0","0","000038","11.73","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0234, 00187SP0235]"
"2TORCASS01000039","sponde","2TOR","leggero","49.9999999996644","Plotting","si","0","0","generalizzata","generalizzata","CASS01","riva d'acqua","leggero","privata","2TORCASS01000039","edificio","5035237.09994748","0","2311288.16571878","","pietra","3","0","0","0","000039","33.99","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0234, 00187SP0235]"
"2TORCASS01000040","sponde","2TOR","leggero","49.99999999994","Plotting","si","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000040","edificio","5035255.67676546","0","2311300.5762961","","pietra","3","0","0","0","000040","10.65","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0057, 00187SP0235]"
"2TORCASS01000041","sponde","2TOR","leggero","50.0000000000237","Plotting","no","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000041","edificio","5035264.97517273","0","2311306.27444156","","pietra","3","0","0","0","000041","11.04","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0057, 00187SP0235, 00187SP0236]"
"2TORCASS01000042","sponde","2TOR","assente","49.9999999999483","Plotting","no","0","1","generalizzata","nulla","CASS01","riva d'acqua","leggero","pubblica","2TORCASS01000042","non rilevato","5035270.56421538","0","2311309.76259718","","pietra","0","0","0","0","000042","2.29","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0057, 00187SP0236]"
"2TORCASS01000043","sponde","2TOR","leggero","50.000000000052","Plotting","no","0","0","generalizzata","generalizzata","CASS01","sponda sotto ponte","leggero","pubblica","2TORCASS01000043","non rilevato","5035273.4837153","0","2311311.60975287","","pietra","0","0","0","0","000043","4.59","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0236]"
"2TORCASS01000044","sponde","2TOR","leggero","49.9999999997301","Plotting","no","0","0","generalizzata","generalizzata","CASS01","riva d'acqua","leggero","pubblica","2TORCASS01000044","non rilevato","5035275.93329571","0","2311313.11056688","","pietra","1","0","0","0","000044","1.34","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0236, 00187SP0237]"
"2TORCASS01000045","sponde","2TOR","leggero","49.9999999997721","Plotting","si","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000045","edificio","5035280.12257813","0","2311315.93902403","","pietra","3","0","0","0","000045","8.37","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0236, 00187SP0237]"
"2TORCASS01000046","sponde","2TOR","leggero","50.0000000002631","Plotting","si","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000046","edificio","5035289.45098026","0","2311322.03298857","","pietra","4","0","0","0","000046","13.53","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0237]"
"2TORCASS01000047","sponde","2TOR","leggero","49.9999999997327","Plotting","si","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000047","edificio","5035295.60992529","0","2311325.91696327","","pietra","0","0","0","0","000047","1.6","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0073, 00187SP0237]"
"2TORCASS01000048","sponde","2TOR","medio","50.0000000001903","Plotting","no","0","0","generalizzata","generalizzata","CASS01","sponda sotto ponte","medio","pubblica","2TORCASS01000048","non rilevato","5035299.37927964","0","2311328.56400335","","pietra","0","0","0","0","000048","6.92","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0073, 00187SP0075, 00187SP0237]"
"2TORCASS01000049","sponde","2TOR","medio","49.9999999999721","Plotting","si","0","0","generalizzata","generalizzata","CASS01","sponda","medio","privata","2TORCASS01000049","edificio","5035306.00814418","0","2311333.04995289","","pietra","1","0","0","0","000049","9.19","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0073, 00187SP0075, 00187SP0077]"
"2TORCASS01000050","sponde","2TOR","leggero","50.0000000000084","Plotting","si","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000050","edificio","5035312.56702071","0","2311337.65134966","","pietra","1","0","0","1","000050","7.81","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0075, 00187SP0077, 00187SP0078]"
"2TORCASS01000051","sponde","2TOR","leggero","50.0000000001412","Plotting","no","0","0","nulla","generalizzata","CASS01","riva d'acqua","assente","pubblica","2TORCASS01000051","non rilevato","5035316.48634937","0","2311340.65297766","","pietra","1","0","0","0","000051","1.7","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0077, 00187SP0078, 00187SP0238]"
"2TORCASS01000052","sponde","2TOR","leggero","49.9999999996424","Plotting","si","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000052","edificio","5035322.38533893","0","2311345.1636659","","pietra","0","0","0","0","000052","13.07","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0078, 00187SP0238]"
"2TORCASS01000053","sponde","2TOR","leggero","49.9999999999136","Plotting","no","0","0","generalizzata","generalizzata","CASS01","sponda","leggero","privata","2TORCASS01000053","edificio","5035328.21434048","0","2311349.71558528","","pietra","0","0","0","0","000053","2.03","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS01000054","sponde","2TOR","assente","50.0000000001529","Plotting","si","0","0","generalizzata","nulla","CASS01","sponda","leggero","privata","2TORCASS01000054","edificio","5035329.72408187","0","2311350.82882644","","pietra","1","0","0","0","000054","1.9","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS01000055","sponde","2TOR","leggero","50.0000000000346","Plotting","no","0","0","nulla","generalizzata","CASS01","sponda","assente","privata","2TORCASS01000055","edificio","5035332.84354754","0","2311353.0965399","","pietra","0","0","0","0","000055","5.98","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS01000056","sponde","2TOR","assente","49.9999999997727","Plotting","si","0","0","generalizzata","nulla","CASS01","sponda","leggero","privata","2TORCASS01000056","edificio","5035339.19246003","0","2311357.72267537","","pietra","3","0","0","0","000056","8.78","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS01000057","sponde","2TOR","assente","49.9999999999445","Plotting","si","0","0","generalizzata","nulla","CASS01","sponda","leggero","privata","2TORCASS01000057","edificio","5035346.56119784","0","2311363.37958968","","pietra","1","0","0","2","000057","10.1","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS01000058","sponde","2TOR","assente","50.0000000001086","Plotting","si","0","0","generalizzata","nulla","CASS01","sponda","leggero","privata","2TORCASS01000058","edificio","5035352.80012917","0","2311368.40154422","","pietra","0","0","0","0","000058","6.55","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS01000059","sponde","2TOR","assente","50.0000000001477","Plotting","si","0","0","generalizzata","nulla","CASS01","sponda","leggero","privata","2TORCASS01000059","edificio","5035361.0287197","0","2311375.27065446","","pietra","0","0","0","4","000059","22.51","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS01000060","sponde","2TOR","assente","50.0000000002493","Plotting","no","0","0","generalizzata","nulla","CASS01","sponda","leggero","privata","2TORCASS01000060","edificio","5035379.05563186","0","2311389.83349801","","pietra","0","0","0","1","000060","11.9","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0238]"
"2TORCASS02000061","sponde","2TOR","medio","49.9999999999147","Plotting","si","0","0","generalizzata","generalizzata","CASS02","sponda","medio","privata","2TORCASS02000061","muro di cinta","5035136.70714379","0","2311211.87983788","","pietra","0","0","0","0","000061","17.87","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0026, 00187SP0232]"
"2TORCASS02000062","sponde","2TOR","grave","50.0000000001223","Plotting","no","0","0","generalizzata","generalizzata","CASS02","sponda","grave","privata","2TORCASS02000062","edificio","5035144.65578227","0","2311218.84790289","","pietra","1","0","0","0","000062","3.7","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0232]"
"2TORCASS02000063","sponde","2TOR","leggero","50.0000000001719","Plotting","no","0","0","generalizzata","generalizzata","CASS02","sponda","leggero","privata","2TORCASS02000063","muro di cinta","5035150.4247941","0","2311223.58123935","","pietra","0","0","0","0","000063","10.9","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0232]"
"2TORCASS02000064","sponde","2TOR","leggero","49.9999999996874","Plotting","si","0","0","generalizzata","generalizzata","CASS02","sponda","leggero","pubblica","2TORCASS02000064","edificio","5035162.01280918","0","2311233.30354544","","pietra","2","0","0","0","000064","18.78","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0232, 00187SP0233]"
"2TORCASS02000065","sponde","2TOR","grave","49.9999999998911","Plotting","no","0","0","generalizzata","generalizzata","CASS02","riva d'acqua","grave","pubblica","2TORCASS02000065","non rilevato","5035169.451535","0","2311239.90053006","","pietra","1","0","0","0","000065","2.1","[00320, 232/1, 00159, 00517, 00187, II509]","[00187SP0232, 00187SP0233]"
"2TORDOMI01000066","sponde","2TOR","assente","50.0000000002514","Plotting","si","0","0","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000066","non rilevato","5035423.28805528","0","2311333.67666636","","pietra","2","0","0","2","000066","14.13","[00003, 232/1, 00114, 00517]","[]"
"2TORDOMI01000067","sponde","2TOR","assente","49.9999999999753","Plotting","no","0","0","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000067","non rilevato","5035414.44956922","0","2311326.58490789","","pietra","3","0","0","1","000067","8.5","[00003, 232/1, 00114, 00517]","[00114SP0069, 00114SP0070]"
"2TORDOMI01000068","sponde","2TOR","leggero","49.9999999996279","Plotting","si","0","0","generalizzata","puntuale","DOMI01","sponda","leggero","privata","2TORDOMI01000068","non rilevato","5035399.50212958","0","2311316.15342596","","pietra","3","0","0","0","000068","27.96","[00003, 232/1, 00114, 00517]","[00114SP0069, 00114SP0070, 00114SP0072]"
"2TORDOMI01000069","sponde","2TOR","leggero","49.999999999915","Plotting","si","0","0","generalizzata","puntuale","DOMI01","sponda","leggero","privata","2TORDOMI01000069","non rilevato","5035382.12510609","0","2311304.31183857","","pietra","3","0","0","0","000069","14.07","[00003, 232/1, 00114, 00517]","[00114SP0070, 00114SP0072, 00114SP0074]"
"2TORDOMI01000070","sponde","2TOR","leggero","49.9999999997983","Plotting","si","0","1","generalizzata","puntuale","DOMI01","sponda","leggero","pubblica","2TORDOMI01000070","non rilevato","5035365.59793703","0","2311292.17338687","","composito","1","0","0","1","000070","15.06","[00003, 232/1, 00114, 00517]","[00114SP0072, 00114SP0074, 00114SP0075]"
"2TORDOMI01000071","sponde","2TOR","assente","50.000000000005","Plotting","no","0","0","generalizzata","nulla","DOMI01","sponda sotto ponte","leggero","pubblica","2TORDOMI01000071","non rilevato","5035363.69826243","0","2311291.09313064","","composito","0","0","0","0","000071","1.16","[00003, 232/1, 00114, 00517]","[00114SP0074, 00114SP0075, 00114SP0077]"
"2TORDOMI01000072","sponde","2TOR","assente","49.999999999861","Plotting","si","0","0","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000072","non rilevato","5035356.54948694","0","2311286.93703033","","pietra","2","0","0","1","000072","21.74","[00003, 232/1, 00114, 00517]","[00114SP0075, 00114SP0077, 00114SP0082]"
"2TORDOMI01000073","sponde","2TOR","leggero","49.9999999997157","Plotting","si","0","0","generalizzata","puntuale","DOMI01","sponda","leggero","privata","2TORDOMI01000073","non rilevato","5035337.43276145","0","2311276.05200571","","pietra","0","0","0","0","000073","14.99","[00003, 232/1, 00114, 00517]","[00114SP0077, 00114SP0082, 00114SP0084]"
"2TORDOMI01000074","sponde","2TOR","assente","49.9999999997565","Plotting","si","0","1","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000074","non rilevato","5035326.40465046","0","2311269.97453363","","pietra","0","0","0","0","000074","11.09","[00003, 232/1, 00114, 00517]","[00114SP0082, 00114SP0084, 00114SP0086]"
"2TORDOMI01000075","sponde","2TOR","assente","50.0000000001397","Plotting","si","0","1","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000075","non rilevato","5035314.74664736","0","2311263.88056909","","pietra","0","0","0","0","000075","15.23","[00003, 232/1, 00114, 00517]","[00114SP0084, 00114SP0086, 00114SP0088]"
"2TORDOMI01000076","sponde","2TOR","leggero","49.9999999995631","Plotting","si","0","0","generalizzata","puntuale","DOMI01","sponda","leggero","privata","2TORDOMI01000076","non rilevato","5035302.44875387","0","2311256.98672016","","pietra","1","0","0","2","000076","12.96","[00003, 232/1, 00114, 00517]","[00114SP0086, 00114SP0088, 00114SP0090]"
"2TORDOMI01000077","sponde","2TOR","assente","50.0000000001457","Plotting","si","0","0","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000077","non rilevato","5035292.31049046","0","2311251.06592647","","pietra","1","0","0","0","000077","10.52","[00003, 232/1, 00114, 00517]","[00114SP0088, 00114SP0090, 00114SP0092]"
"2TORDOMI01000078","sponde","2TOR","assente","50.0000000000781","Plotting","si","0","0","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000078","non rilevato","5035280.4625199","0","2311244.04013785","","pietra","0","0","0","1","000078","17.02","[00003, 232/1, 00114, 00517]","[00114SP0090, 00114SP0092, 00114SP0096]"
"2TORDOMI01000079","sponde","2TOR","assente","49.9999999999485","Plotting","no","0","0","generalizzata","nulla","DOMI01","sponda sotto ponte","leggero","pubblica","2TORDOMI01000079","non rilevato","5035271.32408522","0","2311238.399716","","composito","1","0","0","0","000079","2.42","[00003, 232/1, 00114, 00517]","[00114SP0092, 00114SP0096, 00114SP0100]"
"2TORDOMI01000080","sponde","2TOR","assente","50.0000000000255","Plotting","si","0","0","generalizzata","nulla","DOMI01","sponda","leggero","privata","2TORDOMI01000080","non rilevato","5035258.78623283","0","2311231.21724899","","pietra","1","0","0","1","000080","19.42","[00003, 232/1, 00114, 00517]","[00114SP0096, 00114SP0100, 00114SP0103]"
"2TORDOMI01000081","sponde","2TOR","assente","50.0000000002418","Plotting","no","0","3","generalizzata","nulla","DOMI01","sponda","leggero","pubblica","2TORDOMI01000081","non rilevato","5035245.51850547","0","2311223.68019407","","mattoni","0","0","0","0","000081","20.21","[00003, 232/1, 00114, 00517]","[00114SP0100, 00114SP0103, 00114SP0104]"
"2TORDOMI01000082","sponde","2TOR","leggero","50.0000000000032","Plotting","no","0","0","generalizzata","puntuale","DOMI01","riva d'acqua","leggero","pubblica","2TORDOMI01000082","non rilevato","5035236.14011189","0","2311218.14697322","","mattoni","0","0","0","0","000082","1.56","[00003, 232/1, 00114, 00517]","[00114SP0103, 00114SP0104, 00114SP0106]"
"2TORDOMI01000083","sponde","2TOR","assente","50.0000000000381","Plotting","no","0","0","generalizzata","nulla","DOMI01","sponda","leggero","pubblica","2TORDOMI01000083","non rilevato","5035229.57123708","0","2311214.27949098","","mattoni","0","0","3","3","000083","13.69","[00003, 232/1, 00114, 00517]","[00114SP0104, 00114SP0106, 00114SP0107]"
"2TORDOMI01000084","sponde","2TOR","assente","50.000000000149","Plotting","no","0","0","generalizzata","nulla","DOMI01","sponda sotto ponte","leggero","pubblica","2TORDOMI01000084","non rilevato","5035222.39246673","0","2311210.46148614","","pietra","0","0","0","0","000084","2.64","[00003, 232/1, 00114, 00517]","[00114SP0106, 00114SP0107, 00114SP0109]"
